ID,Date Time,Parent,Type,Object,Status,Message(RAW)
4984,17-05-2024 14:15:58,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],SNMP Memory,Memory: Physical memory,Warning,50 % (Percent Available Memory) is below the warning limit of 60 % in Percent Available Memory
10359,17-05-2024 14:15:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10591,17-05-2024 14:15:47,192.168.101.42,SNMP Traffic 64bit,(002) ens33 Traffic,Up,0.02 Mbit/s
8586,17-05-2024 14:15:29,{mgmt-jp-192-168-40-253} (192.168.40.253) [Cisco-WS-C3750E-48TD-S] @Rack_XX,Syslog Receiver,Syslog Receiver,Warning,0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12355,17-05-2024 14:15:27,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,OK
12349,17-05-2024 14:15:23,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,OK
300,17-05-2024 14:15:20,,Notification Template,Email and push notification to admin,Notification Info,"Error sending ""Email"": Authentication to SMTP relay server ""smtp.gmail.com"" unsuccessful (Sensor ID: 9450 | Trigger Source ID: 0 | Trigger ID: 1)"
300,17-05-2024 14:15:18,,Notification Template,Email and push notification to admin,Notification Info,"Error sending ""Push Notification"": No ""Push"" contact found (Sensor ID: 9450 | Trigger Source ID: 0 | Trigger ID: 1)"
0,17-05-2024 14:15:18,,Group,CDC_INFRA_PRTG-101,Notification Info,"State Trigger sends Email,Push Notification (Sensor ID: 9450 | Trigger Source ID: 0 | Trigger ID: 1)"
9450,17-05-2024 14:15:18,Probe Device,WMI UTC Time,WMI UTC Time,Notification Info,State Trigger activated (Sensor ID: 9450 | Trigger Source ID: 0 | Trigger ID: 1)
9450,17-05-2024 14:15:18,Probe Device,WMI UTC Time,WMI UTC Time,Up,8 h 45 m
10695,17-05-2024 14:15:15,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,Syslog Receiver,Up,0 #/s
4984,17-05-2024 14:14:58,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],SNMP Memory,Memory: Physical memory,Down,50 % (Percent Available Memory) is below the error limit of 50 % in Percent Available Memory
7326,17-05-2024 14:14:51,{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105],SNMP Cisco System Health,System Health Other,Down,"0 mdBm (Ethernet1/49(dBm)_26595) is above the warning limit of -1,000 mdBm in Ethernet1/49(dBm)_26595 — -30,000 mdBm (Ethernet1/50(dBm)_26611) is below the error limit of -15,086 mdBm in Ethernet1/50(dBm)_26611. -13970"
10591,17-05-2024 14:14:47,192.168.101.42,SNMP Traffic 64bit,(002) ens33 Traffic,Warning,1 #/s (Discards In) is above the warning limit of 1 #/s in Discards In
10696,17-05-2024 14:14:37,{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,Syslog Receiver,Up,0 #/s
