ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
12355,06-06-2024 14:53:10,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
8192,06-06-2024 14:53:03,{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Gi1/0/23(40) to Gi1/0/40_mgmt-jp-192-168-99-251,Up,"<div class=""logmessage"">53 Mbit/s<div class=""moreicon""></div></div>",53 Mbit/s
12349,06-06-2024 14:53:01,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Unknown,"<div class=""logmessage"">No data since 06-06-2024 14:50:26<div class=""moreicon""></div></div>",No data since 06-06-2024 14:50:26
10359,06-06-2024 14:52:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10633,06-06-2024 14:52:26,{SFT-CAAS-10-251} (192.168.10.251)(SECONDARY_INTERNET_SW) [CISCO N3K-C3548P-XL] @Rack_SFT_AB18,SNMP Traffic 64bit,(436400128) UPLINK_RACK_AT7_10.11_eth1/29 Traffic,Warning,"<div class=""logmessage"">713 Mbit/s (Traffic Total) is above the warning limit of 700 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",713 Mbit/s (Traffic Total) is above the warning limit of 700 Mbit/s in Traffic Total
8192,06-06-2024 14:52:03,{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Gi1/0/23(40) to Gi1/0/40_mgmt-jp-192-168-99-251,Down,"<div class=""logmessage"">630 #/s (Errors Out) is above the error limit of 2 #/s in Errors Out<div class=""moreicon""></div></div>",630 #/s (Errors Out) is above the error limit of 2 #/s in Errors Out
12355,06-06-2024 14:52:01,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Unknown,"<div class=""logmessage"">No data since 06-06-2024 14:49:12<div class=""moreicon""></div></div>",No data since 06-06-2024 14:49:12
10359,06-06-2024 14:51:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
300,06-06-2024 14:51:52,,Notification Template,Email and push notification to admin,Notification Info,"<div class=""logmessage"">Error sending &quot;Email&quot;: Authentication to SMTP relay server &quot;smtp.gmail.com&quot; unsuccessful (Sensor ID: 9826 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>","Error sending ""Email"": Authentication to SMTP relay server ""smtp.gmail.com"" unsuccessful (Sensor ID: 9826 | Trigger Source ID: 0 | Trigger ID: 1)"
300,06-06-2024 14:51:49,,Notification Template,Email and push notification to admin,Notification Info,"<div class=""logmessage"">Error sending &quot;Push Notification&quot;: No &quot;Push&quot; contact found (Sensor ID: 9826 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>","Error sending ""Push Notification"": No ""Push"" contact found (Sensor ID: 9826 | Trigger Source ID: 0 | Trigger ID: 1)"
