ID,Date Time,Parent,Type,Object,Status,Message(RAW)
10862,02-05-2024 15:59:30,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Eth01(1)__vNIC04-15.vc12.c02__10.112.73.15,Up,"4,378 Mbit/s"
10575,02-05-2024 15:59:28,{mgmt-jp-172.60.60.142} (172.60.60.142) CISCO{WS-C3560X-48},Syslog Receiver,Syslog Receiver,Up,0 #/s
12483,02-05-2024 15:59:23,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,Syslog Receiver,Warning,
12686,02-05-2024 15:59:14,{isp-wr-gc-192-168-100-228} (192.168.100.228) [MK-CRS317-1G-16S+],SNMP Traffic 64bit,(003) MT227-MT228 Traffic,Up,0.05 Mbit/s
10695,02-05-2024 15:59:12,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,Syslog Receiver,Down,
12686,02-05-2024 15:59:08,{isp-wr-gc-192-168-100-228} (192.168.100.228) [MK-CRS317-1G-16S+],SNMP Traffic 64bit,(003) MT227-MT228 Traffic,Warning,"No response (check: firewalls, routing, SNMP settings, IP addresses, SNMP version, community, passwords, etc) (SNMP error # -2003)"
11634,02-05-2024 15:58:42,{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX,SNMP Traffic 64bit,(436289536) VEEM_BACKUP_SERVER_10.133.103.62_Port2 Traffic,Up,"4,639 Mbit/s"
10858,02-05-2024 15:58:40,mgmt-jp-192-168-40-251,Syslog Receiver,Syslog Receiver,Up,0 #/s
11634,02-05-2024 15:58:32,{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX,SNMP Traffic 64bit,(436289536) VEEM_BACKUP_SERVER_10.133.103.62_Port2 Traffic,Warning,"7,936 Mbit/s (Traffic Total) is above the warning limit of 7,000 Mbit/s in Traffic Total"
10862,02-05-2024 15:58:30,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Eth01(1)__vNIC04-15.vc12.c02__10.112.73.15,Warning,1.28 #/s (Discards In) is above the warning limit of 1 #/s in Discards In
10575,02-05-2024 15:58:28,{mgmt-jp-172.60.60.142} (172.60.60.142) CISCO{WS-C3560X-48},Syslog Receiver,Syslog Receiver,Warning,
10573,02-05-2024 15:58:18,{mgmt-jp-172.60.60.141} (172.60.60.141) CISCO{WS-C3560X-48},Syslog Receiver,Syslog Receiver,Up,0 #/s
12506,02-05-2024 15:58:13,{idrac-jp-10-100-11-43} (10.100.11.43) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,Syslog Receiver,Up,0 #/s
11634,02-05-2024 15:58:02,{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX,SNMP Traffic 64bit,(436289536) VEEM_BACKUP_SERVER_10.133.103.62_Port2 Traffic,Up,0 Mbit/s
10161,02-05-2024 15:57:56,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Eth-18(69)__vNIC04-12.vc12.c02__10.112.73.12,Up,"3,064 Mbit/s"
12349,02-05-2024 15:57:54,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,OK
11634,02-05-2024 15:57:52,{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX,SNMP Traffic 64bit,(436289536) VEEM_BACKUP_SERVER_10.133.103.62_Port2 Traffic,Down,"8,398 Mbit/s (Traffic Total) is above the error limit of 8,000 Mbit/s in Traffic Total"
10858,02-05-2024 15:57:40,mgmt-jp-192-168-40-251,Syslog Receiver,Syslog Receiver,Warning,
10869,02-05-2024 15:57:31,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15 [TP-GF],SNMP Traffic 64bit,Eth04(13)__vNIC14-18.vc12.c02__10.112.73.18,Up,115 Mbit/s
